2025-02-18 11:20:39,178 - INFO - Combinaciones leídas: 31
2025-02-18 11:23:09,380 - INFO - Precios obtenidos: SANTIAGO CENTRO -> RANCAGUA: [{'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'RANCAGUA', 'tamaño': 'XS', 'precio': '$6.192'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'RANCAGUA', 'tamaño': 'S', 'precio': '$8.070'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'RANCAGUA', 'tamaño': 'M', 'precio': '$12.347'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'RANCAGUA', 'tamaño': 'XL', 'precio': '$14.876'}]
2025-02-18 11:23:21,503 - INFO - Precios obtenidos: VINA DEL MAR -> CONCEPCION: [{'rut': '99.999.999-9', 'origen': 'VINA DEL MAR', 'destino': 'CONCEPCION', 'tamaño': 'XS', 'precio': '$7.479'}, {'rut': '99.999.999-9', 'origen': 'VINA DEL MAR', 'destino': 'CONCEPCION', 'tamaño': 'S', 'precio': '$7.735'}, {'rut': '99.999.999-9', 'origen': 'VINA DEL MAR', 'destino': 'CONCEPCION', 'tamaño': 'M', 'precio': '$10.456'}, {'rut': '99.999.999-9', 'origen': 'VINA DEL MAR', 'destino': 'CONCEPCION', 'tamaño': 'XL', 'precio': '$14.083'}]
2025-02-18 11:23:33,329 - INFO - Precios obtenidos: RANCAGUA -> SANTIAGO CENTRO: [{'rut': '99.999.999-9', 'origen': 'RANCAGUA', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'XS', 'precio': '$5.846'}, {'rut': '99.999.999-9', 'origen': 'RANCAGUA', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'S', 'precio': '$7.452'}, {'rut': '99.999.999-9', 'origen': 'RANCAGUA', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'M', 'precio': '$9.779'}, {'rut': '99.999.999-9', 'origen': 'RANCAGUA', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'XL', 'precio': '$12.988'}]
2025-02-18 11:23:45,190 - INFO - Precios obtenidos: CONCEPCION -> VALDIVIA: [{'rut': '99.999.999-9', 'origen': 'CONCEPCION', 'destino': 'VALDIVIA', 'tamaño': 'XS', 'precio': '$7.928'}, {'rut': '99.999.999-9', 'origen': 'CONCEPCION', 'destino': 'VALDIVIA', 'tamaño': 'S', 'precio': '$8.627'}, {'rut': '99.999.999-9', 'origen': 'CONCEPCION', 'destino': 'VALDIVIA', 'tamaño': 'M', 'precio': '$13.585'}, {'rut': '99.999.999-9', 'origen': 'CONCEPCION', 'destino': 'VALDIVIA', 'tamaño': 'XL', 'precio': '$15.933'}]
2025-02-18 11:23:57,174 - INFO - Precios obtenidos: CONCEPCION -> VINA DEL MAR: [{'rut': '99.999.999-9', 'origen': 'CONCEPCION', 'destino': 'VINA DEL MAR', 'tamaño': 'XS', 'precio': '$7.844'}, {'rut': '99.999.999-9', 'origen': 'CONCEPCION', 'destino': 'VINA DEL MAR', 'tamaño': 'S', 'precio': '$8.492'}, {'rut': '99.999.999-9', 'origen': 'CONCEPCION', 'destino': 'VINA DEL MAR', 'tamaño': 'M', 'precio': '$12.670'}, {'rut': '99.999.999-9', 'origen': 'CONCEPCION', 'destino': 'VINA DEL MAR', 'tamaño': 'XL', 'precio': '$17.838'}]
2025-02-18 11:24:09,495 - INFO - Precios obtenidos: VALDIVIA -> CONCEPCION: [{'rut': '99.999.999-9', 'origen': 'VALDIVIA', 'destino': 'CONCEPCION', 'tamaño': 'XS', 'precio': '$6.275'}, {'rut': '99.999.999-9', 'origen': 'VALDIVIA', 'destino': 'CONCEPCION', 'tamaño': 'S', 'precio': '$7.920'}, {'rut': '99.999.999-9', 'origen': 'VALDIVIA', 'destino': 'CONCEPCION', 'tamaño': 'M', 'precio': '$10.041'}, {'rut': '99.999.999-9', 'origen': 'VALDIVIA', 'destino': 'CONCEPCION', 'tamaño': 'XL', 'precio': '$13.959'}]
2025-02-18 11:24:21,662 - INFO - Precios obtenidos: PUERTO MONTT -> SANTIAGO CENTRO: [{'rut': '99.999.999-9', 'origen': 'PUERTO MONTT', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'XS', 'precio': '$6.238'}, {'rut': '99.999.999-9', 'origen': 'PUERTO MONTT', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'S', 'precio': '$8.436'}, {'rut': '99.999.999-9', 'origen': 'PUERTO MONTT', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'M', 'precio': '$16.975'}, {'rut': '99.999.999-9', 'origen': 'PUERTO MONTT', 'destino': 'SANTIAGO CENTRO', 'tamaño': 'XL', 'precio': '$23.626'}]
2025-02-18 11:24:33,769 - INFO - Precios obtenidos: SANTIAGO CENTRO -> COPIAPO: [{'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'COPIAPO', 'tamaño': 'XS', 'precio': '$7.031'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'COPIAPO', 'tamaño': 'S', 'precio': '$9.319'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'COPIAPO', 'tamaño': 'M', 'precio': '$13.313'}, {'rut': '99.999.999-9', 'origen': 'SANTIAGO CENTRO', 'destino': 'COPIAPO', 'tamaño': 'XL', 'precio': '$16.889'}]
2025-02-18 11:24:46,093 - INFO - Precios obtenidos: VINA DEL MAR -> VALDIVIA: [{'rut': '99.999.999-9', 'origen': 'VINA DEL MAR', 'destino': 'VALDIVIA', 'tamaño': 'XS', 'precio': '$8.033'}, {'rut': '99.999.999-9', 'origen': 'VINA DEL MAR', 'destino': 'VALDIVIA', 'tamaño': 'S', 'precio': '$9.215'}, {'rut': '99.999.999-9', 'origen': 'VINA DEL MAR', 'destino': 'VALDIVIA', 'tamaño': 'M', 'precio': '$11.612'}, {'rut': '99.999.999-9', 'origen': 'VINA DEL MAR', 'destino': 'VALDIVIA', 'tamaño': 'XL', 'precio': '$15.586'}]
2025-02-18 11:24:58,031 - INFO - Precios obtenidos: VINA DEL MAR -> VINA DEL MAR: [{'rut': '99.999.999-9', 'origen': 'VINA DEL MAR', 'destino': 'VINA DEL MAR', 'tamaño': 'XS', 'precio': '$6.089'}, {'rut': '99.999.999-9', 'origen': 'VINA DEL MAR', 'destino': 'VINA DEL MAR', 'tamaño': 'S', 'precio': '$6.319'}, {'rut': '99.999.999-9', 'origen': 'VINA DEL MAR', 'destino': 'VINA DEL MAR', 'tamaño': 'M', 'precio': '$7.000'}, {'rut': '99.999.999-9', 'origen': 'VINA DEL MAR', 'destino': 'VINA DEL MAR', 'tamaño': 'XL', 'precio': '$8.111'}]
