ORI,DEST,Tamaño,Ruta,%
VALDIVIA,VALDIVIA,L,INTRA,2.58068415326967
SANTIAGO,ANTOFAGASTA,XS,LEJOS,0.36
SANTIAGO,ANTOFAGASTA,S,LEJOS,0.36
SANTIAGO,ANTOFAGASTA,M,LEJOS,0.36
SANTIAGO,ANTOFAGASTA,L,LEJOS,0.36
COPIAPO,SANTIAGO,XS,CERCA,0.0113412034888751
COPIAPO,SANTIAGO,S,CERCA,0.0113412034888751
COPIAPO,SANTIAGO,M,CERCA,0.0113412034888751
COPIAPO,SANTIAGO,L,CERCA,0.0113412034888751
CONCEPCION,RANCAGUA,XS,CERCA,0.0110973912086011
CONCEPCION,RANCAGUA,S,CERCA,0.0110973912086011
CONCEPCION,RANCAGUA,M,CERCA,0.0110973912086011
CONCEPCION,RANCAGUA,L,CERCA,0.0110973912086011
SANTIAGO,PUNTA ARENAS,XS,LEJOS,0.182468694096601
SANTIAGO,PUNTA ARENAS,S,LEJOS,0.182468694096601
SANTIAGO,PUNTA ARENAS,M,LEJOS,0.182468694096601
SANTIAGO,PUNTA ARENAS,L,LEJOS,0.182468694096601
SANTIAGO,ARICA,XS,LEJOS,0.133497316636852
SANTIAGO,ARICA,S,LEJOS,0.133497316636852
SANTIAGO,ARICA,M,LEJOS,0.133497316636852
SANTIAGO,ARICA,L,LEJOS,0.133497316636852
SANTIAGO,COYHAIQUE,XS,LEJOS,0.134168157423971
SANTIAGO,COYHAIQUE,S,LEJOS,0.134168157423971
SANTIAGO,COYHAIQUE,M,LEJOS,0.134168157423971
SANTIAGO,COYHAIQUE,L,LEJOS,0.134168157423971
SANTIAGO,IQUIQUE,XS,LEJOS,0.189400715563506
SANTIAGO,IQUIQUE,S,LEJOS,0.189400715563506
SANTIAGO,IQUIQUE,M,LEJOS,0.189400715563506
SANTIAGO,IQUIQUE,L,LEJOS,0.189400715563506
